Method,NormalizedPath,File,Line,OriginalPath
DELETE,{id},".\src\modules\merchant\merchant.controller.ts",99,:id
DELETE,{id},".\src\modules\notification\notification.controller.ts",98,:id
DELETE,{id},".\src\modules\promotion\promotion.controller.ts",119,:id
DELETE,{id},".\src\modules\store\store.controller.ts",225,:id
GET,{id},".\src\modules\driver\driver.controller.ts",53,:id
GET,{id},".\src\modules\merchant\merchant.controller.ts",69,:id
GET,{id},".\src\modules\order\order-cqrs.controller.ts",169,:id
GET,{id},".\src\modules\order\order.controller.ts",102,:id
GET,{id},".\src\modules\promotion\promotion.controller.ts",89,:id
GET,{id},".\src\modules\store\delivery-store.controller.ts",50,:id
GET,{id},".\src\modules\store\store.controller.ts",56,:id
GET,{id},".\src\modules\vendor\vendor.controller.ts",63,:id
GET,{id}/products,".\src\modules\store\delivery-store.controller.ts",61,:id/products
GET,{id}/products,".\src\modules\store\store.controller.ts",79,:id/products
GET,commissions/my,".\src\modules\finance\finance.controller.ts",65,commissions/my
GET,commissions/my,".\src\modules\marketer\marketer.controller.ts",130,commissions/my
GET,consent/check/{type},".\src\modules\auth\auth.controller.ts",186,consent/check/:type
GET,consent/check/{type},".\src\modules\legal\legal.controller.ts",114,consent/check/:type
GET,earnings,".\src\modules\driver\driver.controller.ts",121,earnings
GET,earnings,".\src\modules\marketer\marketer.controller.ts",185,earnings
GET,me,".\src\modules\user\user.controller.ts",43,me
GET,me,".\src\modules\vendor\vendor.controller.ts",54,me
GET,my,".\src\modules\notification\notification.controller.ts",56,my
GET,my,".\src\modules\onboarding\onboarding.controller.ts",54,my
GET,profile,".\src\modules\driver\driver.controller.ts",97,profile
GET,profile,".\src\modules\marketer\marketer.controller.ts",28,profile
GET,search,".\src\modules\store\delivery-store.controller.ts",38,search
GET,search,".\src\modules\user\user.controller.ts",195,search
GET,statistics,".\src\modules\driver\driver.controller.ts",157,statistics
GET,statistics,".\src\modules\onboarding\onboarding.controller.ts",172,statistics
GET,user/{userid},".\src\modules\cart\cart.controller.ts",47,user/:userId
GET,user/{userid},".\src\modules\order\order.controller.ts",54,user/:userId
PATCH,{id},".\src\modules\merchant\merchant.controller.ts",82,:id
PATCH,{id},".\src\modules\promotion\promotion.controller.ts",102,:id
PATCH,{id},".\src\modules\shift\shift.controller.ts",65,:id
PATCH,{id},".\src\modules\store\store.controller.ts",94,:id
PATCH,{id},".\src\modules\vendor\vendor.controller.ts",89,:id
PATCH,{id}/status,".\src\modules\order\order-cqrs.controller.ts",88,:id/status
PATCH,{id}/status,".\src\modules\vendor\vendor.controller.ts",105,:id/status
PATCH,me,".\src\modules\user\user.controller.ts",58,me
PATCH,me,".\src\modules\vendor\vendor.controller.ts",74,me
PATCH,products/{id},".\src\modules\merchant\merchant.controller.ts",235,products/:id
PATCH,products/{id},".\src\modules\store\store.controller.ts",155,products/:id
PATCH,profile,".\src\modules\driver\driver.controller.ts",107,profile
PATCH,profile,".\src\modules\marketer\marketer.controller.ts",36,profile
POST,{id}/assign-driver,".\src\modules\order\order-cqrs.controller.ts",117,:id/assign-driver
POST,{id}/assign-driver,".\src\modules\order\order.controller.ts",115,:id/assign-driver
POST,{id}/cancel,".\src\modules\order\order-cqrs.controller.ts",139,:id/cancel
POST,{id}/cancel,".\src\modules\order\order.controller.ts",296,:id/cancel
POST,consent,".\src\modules\auth\auth.controller.ts",61,consent
POST,consent,".\src\modules\legal\legal.controller.ts",81,consent
POST,products,".\src\modules\merchant\merchant.controller.ts",183,products
POST,products,".\src\modules\store\store.controller.ts",68,products
POST,settlements,".\src\modules\finance\finance.controller.ts",239,settlements
POST,settlements,".\src\modules\vendor\vendor.controller.ts",162,settlements
POST,wallet/transfer,".\src\common\config\throttler.config.ts",43,wallet/transfer
POST,wallet/transfer,".\src\common\config\throttler.config.ts",49,wallet/transfer